Year;Winner;Final Result;Matches;Goals;Red Cards;Attendance;Attendance Avg;Goals Avg;Red Cards Avg
1960;USSR;2-1;4;17;0;78958;19739.50;4.25;0.00
1964;Spain;2-1;4;13;0;156253;39063.25;3.25;0.00
1968;Italy;2 - 0;5;7;1;260936;52187.20;1.4;0.20
1972;West Germany;3 - 0;4;10;0;106510;26627.50;2.5;0.00
1976;Czechoslovakia;2 - 2 (5 - 3);4;19;3;106087;26521.75;4.75;0.75
1980;West Germany;2-1;14;27;0;350655;25046.79;1.93;0.00
1984;France;2 - 0;15;41;3;599655;39977.00;2.73;0.20
1988;Netherlands;2 - 0;15;34;0;849844;56656.27;2.27;0.00
1992;Denmark;2 - 0;15;32;0;429833;28655.53;2.13;0.00
1996;Germany;2-1;31;64;7;1276171;41166.81;2.06;0.23
2000;France;2-1;31;85;8;1126443;36336.87;2.74;0.26
2004;Greece;1 - 0;31;77;6;1150802;37122.65;2.48;0.19
2008;Spain;1 - 0;31;77;3;1143529;36888.03;2.48;0.10
2012;Spain;4 - 0;31;76;3;1440613;46471.39;2.45;0.10
2016;Portugal;1 - 0;51;108;3;2427303;47594.18;2.12;0.06
2020;Italy;1 - 1 (3 - 2);51;142;6;1100278;21574.08;2.78;0.12
2024;Spain;2-1;51;117;5;2681288;52574.27;2.29;0.10
